Name,Note,ISIN,Symbol,WKN,Latest,Δ %,Δ amount,Latest (Date),Last historical (Date),First historical (Date),Quote Feed (historic),Quote Feed (latest),URL (historic quotes),URL (latest quotes),Next Ex-Date,Next Paym. Date,Next Paym. Amt.,Logo,TER,AUM,Vendor,Acquisition Fee,Management Fee,Asset Classes (Level 1),Asset Classes,Sector,Industry group,Industry,Industries (GICS) (Level 4),Industries (GICS),"Industries (GICS, Sectors) (Level 1)","Industries (GICS, Sectors)",Asset Allocation (Level 1),Asset Allocation (Level 2),Asset Allocation,Market,Region,Regions (MSCI) (Level 3),Regions (MSCI),Type of Security (Level 1),Type of Security,BRX-Plus (Byron) (Level 1),BRX-Plus (Byron) (Level 2),BRX-Plus (Byron),Currency
Blackrock Funds BR Systematic Multi-Strategy  - C,Blackrock Funds BR Systematic Multi-Strategy  - C,US09260C2089,BMBCX,335839009,10.24,0.00%,0.00,2025-08-21,2025-08-20,2015-05-19,Yahoo Finance,(same as historical quotes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD
Blackrock Funds BR Tactical Opportunities - Investor C,Blackrock Funds BR Tactical Opportunities - Investor C,US0919277980,BRBCX,141154881,14.93,-0.07%,-0.01,2025-08-21,2025-08-20,1995-06-21,Yahoo Finance,(same as historical quotes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD
CORE SCIENTIFIC INC,CORE SCIENTIFIC INC,US21874A1060,CORZ,679998205,14.08,-1.88%,-0.27,2025-08-20,2025-08-20,2024-01-24,Portfolio Performance (built-in),(same as historical quotes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD
FS KKR CAPITAL CORP,FS KKR CAPITAL CORP,US3026352068,FSK,426117794,17.75,1.14%,0.20,2025-08-20,2025-08-20,2014-04-16,Portfolio Performance (built-in),(same as historical quotes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD
GLOBAL X LITHIUM & BATTERY T,GLOBAL X LITHIUM & BATTERY T,US37954Y8553,LIT,211651695,44.96,-0.95%,-0.43,2025-08-20,2025-08-20,2010-07-23,Portfolio Performance (built-in),(same as historical quotes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD
GLOBAL X URANIUM ETF,GLOBAL X URANIUM ETF,US37954Y8710,URA,211651685,36.45,-1.38%,-0.51,2025-08-20,2025-08-20,2010-11-05,Portfolio Performance (built-in),(same as historical quotes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD
INNOVATOR DBL STACK 9 BUFF-J,INNOVATOR DBL STACK 9 BUFF-J,US45782C1365,DBJA,463451348,29.4591,0.00%,0.00,2024-01-11,2024-01-11,2020-12-31,Yahoo Finance,(same as historical quotes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD
INNOVATOR GROWTH ACCEL PL-OC,INNOVATOR GROWTH ACCEL PL-OC,US45782C1282,QTOC,518304440,32.7505,-0.10%,-0.03,2025-08-20,2025-08-20,2021-10-01,Portfolio Performance (built-in),(same as historical quotes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD
INNOVATOR LADDERED ALLOCATIO,INNOVATOR LADDERED ALLOCATIO,US45783Y8140,BUFF,519070808,47.94,0.06%,0.03,2025-08-20,2025-08-20,2016-10-21,Portfolio Performance (built-in),(same as historical quotes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD
INVESCO S&P 500 QUALITY ETF,INVESCO S&P 500 QUALITY ETF,US46137V2410,SPHQ,319359474,72.41,0.07%,0.05,2025-08-20,2025-08-20,2005-12-06,Portfolio Performance (built-in),(same as historical quotes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD
ISHARES BITCOIN TRUST,ISHARES BITCOIN TRUST,US46438F1012,IBIT,677037673,64.90,1.11%,0.71,2025-08-20,2025-08-20,2024-01-11,Portfolio Performance (built-in),(same as historical quotes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD
ISHARES ETHEREUM TRUST ETF,ISHARES ETHEREUM TRUST ETF,US46438R1059,ETHA,717828992,32.91,5.14%,1.61,2025-08-20,2025-08-20,2024-07-23,Portfolio Performance (built-in),(same as historical quotes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD
MFS Investment Management MFS CORE EQUITY FUND-A,MFS Investment Management MFS CORE EQUITY FUND-A,US5529838840,MRGAX,141156595,54.17,-0.33%,-0.18,2025-08-21,2025-08-20,1995-12-29,Yahoo Finance,(same as historical quotes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD
SIMPLIFY INTEREST RATE HEDGE,SIMPLIFY INTEREST RATE HEDGE,US82889N8552,PFIX,490450360,55.14,-0.47%,-0.26,2025-08-20,2025-08-20,2021-05-11,Portfolio Performance (built-in),(same as historical quotes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD
SPDR MSCI WORLD STRATEGICFAC,SPDR MSCI WORLD STRATEGICFAC,US78463X4189,QWLD,154111525,137.7525,0.30%,0.42,2025-08-20,2025-08-20,2014-06-05,Portfolio Performance (built-in),(same as historical quotes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD
TESLA INC,TESLA INC,US88160R1014,TSLA,76792991,323.90,-1.64%,-5.41,2025-08-20,2025-08-20,2010-06-29,Portfolio Performance (built-in),(same as historical quotes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD
VANGUARD TOT WORLD STK ETF,VANGUARD TOT WORLD STK ETF,US9220427424,0LMN.L,52197301,132.2793,-0.07%,-0.09,2025-08-21,2025-08-21,2008-06-26,Portfolio Performance (built-in),(same as historical quotes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD
Victory Capital VICTORY MARKET NEUTRAL INCOME FD A,Victory Capital VICTORY MARKET NEUTRAL INCOME FD A,US92647P6390,CBHAX,212175478,8.64,0.12%,0.01,2025-08-21,2025-08-20,2012-11-19,Yahoo Finance,(same as historical quotes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD
